Transaction Date,Invoice ID,Customer,Product,Quantity,Unit Price (GBP),Revenue (GBP),Cost (GBP),Gross Profit (GBP),Gross Margin %,Location / Region,Sales Rep,Payment Terms,Order Status,Delivery Date,Lead Time (Days)
2023-01-02,SO-11066,Orion Subsea Ltd,Maintenance Kits,30,151.45,4543.55,2872.17,1671.38,36.79,Scotland,James Whitfield,Immediate,Completed,2023-01-11,9
2023-01-02,PO-11068,Apex Fluid Systems,Seals & Gaskets,22,62.93,1384.51,681.84,702.67,50.75,Midlands,Claire Morrison,Net 30,Completed,2023-01-06,4
2023-01-02,PO-11737,Pacific Offshore GmbH,Industrial Pumps,12,252.14,3025.7,1887.3,1138.4,37.62,Germany,James Whitfield,Net 30,Partially Returned,2023-01-21,19
2023-01-03,INV-12021,Apex Fluid Systems,Maintenance Kits,42,144.1,6052.04,3333.04,2719.0,44.93,Midlands,Emma Thornton,Net 30,Completed,2023-01-04,1
2023-01-03,INV-11601,Northgate Engineering Ltd,Seals & Gaskets,62,77.46,4802.83,4606.62,196.21,4.09,North,Emma Thornton,Net 60,Completed,2023-01-09,6
2023-01-04,SO-10377,Orion Subsea Ltd,Hydraulic Fittings,22,133.75,2942.51,1590.38,1352.13,45.95,Scotland,Sarah Okonkwo,Net 30,Completed,2023-01-07,3
2023-01-04,PO-11136,Orion Subsea Ltd,Hydraulic Fittings,12,70.88,850.51,545.8,304.71,35.83,Scotland,James Whitfield,Net 30,Completed,2023-01-05,1
2023-01-05,PO-10419,Northgate Engineering Ltd,Seals & Gaskets,42,119.53,5020.29,2721.75,2298.54,45.79,North,James Whitfield,Net 60,Completed,2023-01-18,13
2023-01-09,INV-12032,Meridian Process Group,Industrial Pumps,24,361.07,8665.61,8716.01,-50.4,-0.58,Wales,David Liang,Net 60,Refunded,2023-01-28,19
2023-01-09,INV-11994,Apex Fluid Systems,Industrial Pumps,4,280.37,1121.47,699.77,421.7,37.6,Midlands,James Whitfield,Net 45,Completed,2023-01-10,1
2023-01-09,INV-10454,Pacific Offshore GmbH,Industrial Pumps,23,352.12,8098.75,4568.32,3530.43,43.59,Germany,Claire Morrison,Net 60,Completed,2023-01-12,3
2023-01-10,SO-11692,Northgate Engineering Ltd,Hydraulic Fittings,119,93.99,11184.55,5950.33,5234.22,46.8,North,James Whitfield,Net 30,Completed,2023-01-18,8
2023-01-10,SO-10465,Pacific Offshore GmbH,Valve Assemblies,9,115.07,1035.59,697.18,338.41,32.68,Germany,David Liang,Net 30,Completed,2023-01-23,13
2023-01-11,INV-10984,Apex Fluid Systems,Compressor Units,11,1788.61,19674.72,12178.14,7496.58,38.1,Midlands,Raj Patel,Net 60,Completed,2023-01-22,11
2023-01-11,INV-11854,Meridian Process Group,Industrial Pumps,29,390.36,11320.35,6962.84,4357.51,38.49,Sheffield,Claire Morrison,Net 45,Completed,2023-01-15,4
2023-01-11,INV-11328,Northgate Engineering Ltd,Maintenance Kits,118,224.92,26540.12,16841.34,9698.78,36.54,North,Sarah Okonkwo,Immediate,Completed,2023-01-22,11
2023-01-11,INV-10692,Northgate Engineering Ltd,Seals & Gaskets,116,133.35,15468.34,9216.03,6252.31,40.42,North,James Whitfield,Net 60,Completed,2023-01-13,2
2023-01-13,PO-11764,Northgate Engineering Ltd,Industrial Pumps,43,268.91,11563.04,6460.66,5102.38,44.13,North,James Whitfield,Net 60,Completed,2023-01-15,2
2023-01-16,INV-10561,Apex Fluid Systems,Industrial Pumps,34,303.31,10312.59,5453.26,4859.33,47.12,Midlands,Emma Thornton,Immediate,Completed,2023-01-25,9
2023-01-16,INV-11161,Valor Industrial Partners,Seals & Gaskets,40,78.13,3125.4,1683.51,1441.89,46.13,North,Emma Thornton,Immediate,Completed,2023-01-30,14
2023-01-16,INV-11046,Northgate Engineering Ltd,Industrial Pumps,77,349.68,26925.47,16188.7,10736.77,39.88,North,Emma Thornton,Net 30,Completed,2023-01-27,11
2023-01-16,PO-10336,TechCore Manufacturing,Compressor Units,27,1755.39,47395.5,34111.72,13283.78,28.03,South,David Liang,Net 45,Partially Returned,2023-02-04,19
2023-01-18,SO-10784,Northgate Engineering Ltd,Maintenance Kits,40,241.87,9674.83,10289.07,-614.24,-6.35,London,David Liang,Immediate,Completed,2023-01-26,8
2023-01-19,SO-10150,Pacific Offshore GmbH,Maintenance Kits,7,169.58,1187.09,673.23,513.86,43.29,Germany,James Whitfield,Net 45,Completed,2023-01-24,5
2023-01-20,INV-10268,BritOil Downstream Services,Valve Assemblies,102,303.55,30961.61,18838.36,12123.25,39.16,Scotland,James Whitfield,Immediate,Completed,2023-01-31,11
2023-01-20,PO-10851,Pacific Offshore GmbH,Maintenance Kits,14,264.6,3704.42,2237.07,1467.35,39.61,Germany,Sarah Okonkwo,Net 60,Completed,2023-02-07,18
2023-01-20,PO-11173,Meridian Process Group,Industrial Pumps,7,481.12,3367.81,1961.89,1405.92,41.75,Wales,Claire Morrison,Immediate,Completed,2023-01-30,10
2023-01-20,INV-11552,Northgate Engineering Ltd,Industrial Pumps,84,472.49,39689.14,23618.95,16070.19,40.49,North,David Liang,Net 30,Completed,2023-01-22,2
2023-01-20,INV-11726,Northgate Engineering Ltd,Compressor Units,110,781.63,85979.51,57993.26,27986.25,32.55,North,Claire Morrison,Net 60,Completed,2023-01-28,8
2023-01-24,PO-11082,Apex Fluid Systems,Seals & Gaskets,8,47.72,381.72,199.84,181.88,47.65,Midlands,Sarah Okonkwo,Net 60,Completed,2023-02-01,8
2023-01-24,PO-11586,TechCore Manufacturing,Industrial Pumps,36,436.58,15716.97,8263.9,7453.07,47.42,South,Sarah Okonkwo,Immediate,Partially Returned,2023-01-26,2
2023-01-25,INV-10859,Apex Fluid Systems,Hydraulic Fittings,14,41.14,576.01,335.43,240.58,41.77,Midlands,James Whitfield,Immediate,Completed,2023-02-01,7
2023-01-25,PO-11513,BritOil Downstream Services,Valve Assemblies,32,301.93,9661.85,5635.26,4026.59,41.68,Scotland,Sarah Okonkwo,Net 60,Completed,2023-02-01,7
2023-01-26,SO-10144,BritOil Downstream Services,Hydraulic Fittings,25,155.31,3882.81,1959.02,1923.79,49.55,Scotland,Raj Patel,Net 60,Completed,2023-02-10,15
2023-01-27,PO-10044,Northgate Engineering Ltd,Compressor Units,97,1858.6,180283.96,113050.4,67233.56,37.29,North,Emma Thornton,Net 45,Completed,2023-02-01,5
2023-01-31,INV-10989,BritOil Downstream Services,Industrial Pumps,51,339.74,17326.68,10273.65,7053.03,40.71,Scotland,James Whitfield,Net 30,Completed,2023-02-10,10
2023-01-31,SO-11258,Northgate Engineering Ltd,Seals & Gaskets,72,107.74,7757.48,4535.74,3221.74,41.53,North,Emma Thornton,Immediate,Completed,2023-02-15,15
2023-02-01,PO-11671,Meridian Process Group,Seals & Gaskets,27,129.87,3506.43,1770.42,1736.01,49.51,Wales,Claire Morrison,Net 30,Completed,2023-02-06,5
2023-02-02,SO-10474,Meridian Process Group,Maintenance Kits,21,193.61,4065.9,2597.64,1468.26,36.11,Wales,Raj Patel,Net 60,Partially Returned,2023-02-08,6
2023-02-02,INV-11025,Northgate Engineering Ltd,Industrial Pumps,60,264.98,15898.93,10115.82,5783.11,36.37,North,Raj Patel,Immediate,Partially Returned,2023-02-03,1
2023-02-06,PO-10215,Pacific Offshore GmbH,Maintenance Kits,23,118.16,2717.63,2772.21,-54.58,-2.01,Germany,Sarah Okonkwo,Net 45,Completed,2023-02-07,1
2023-02-06,SO-11594,Meridian Process Group,Compressor Units,13,1775.42,23080.49,14769.39,8311.1,36.01,Wales,Sarah Okonkwo,Net 30,Completed,2023-02-17,11
2023-02-06,INV-10671,TechCore Manufacturing,Compressor Units,22,1055.41,23218.99,15812.14,7406.85,31.9,South,Raj Patel,Net 30,Completed,2023-02-19,13
2023-02-07,SO-10643,Apex Fluid Systems,Maintenance Kits,44,125.13,5505.65,3712.9,1792.75,32.56,Midlands,Emma Thornton,Net 60,Completed,2023-02-10,3
2023-02-07,INV-11922,Northgate Engineering Ltd,Hydraulic Fittings,40,99.32,3972.61,2133.98,1838.63,46.28,Manchester,Claire Morrison,Net 30,Refunded,2023-02-25,18
2023-02-08,INV-11359,Apex Fluid Systems,Industrial Pumps,11,437.11,4808.22,2679.66,2128.56,44.27,Midlands,David Liang,Net 60,Completed,2023-02-21,13
2023-02-08,PO-10493,Meridian Process Group,Compressor Units,6,969.46,5816.77,4083.9,1732.87,29.79,Wales,Raj Patel,Immediate,Partially Returned,2023-02-24,16
2023-02-09,INV-10649,Northgate Engineering Ltd,Industrial Pumps,58,271.47,15745.49,9909.81,5835.68,37.06,North,James Whitfield,Immediate,Completed,2023-02-18,9
2023-02-09,INV-10900,Northgate Engineering Ltd,Seals & Gaskets,12,123.64,1483.73,880.81,602.92,40.64,North,Sarah Okonkwo,Net 30,Completed,2023-02-12,3
2023-02-10,PO-11942,Northgate Engineering Ltd,Hydraulic Fittings,34,72.3,2458.34,1527.4,930.94,37.87,North,James Whitfield,Immediate,Completed,2023-03-01,19
2023-02-10,INV-12067,Northgate Engineering Ltd,Hydraulic Fittings,16,140.42,2246.71,1459.57,787.14,35.04,North,Emma Thornton,Immediate,Completed,2023-02-16,6
2023-02-10,INV-10696,Northgate Engineering Ltd,Industrial Pumps,99,482.78,47794.76,27084.64,20710.12,43.33,North,James Whitfield,Immediate,Partially Returned,2023-02-18,8
2023-02-10,PO-10679,Apex Fluid Systems,Hydraulic Fittings,44,30.49,1341.45,691.66,649.79,48.44,Midlands,Sarah Okonkwo,Net 30,Completed,2023-02-24,14
2023-02-13,INV-10812,Apex Fluid Systems,Industrial Pumps,24,429.56,10309.45,6001.52,4307.93,41.79,Midlands,Raj Patel,Net 60,Completed,2023-02-18,5
2023-02-14,INV-10030,BritOil Downstream Services,Industrial Pumps,36,486.52,17514.64,10114.05,7400.59,42.25,Sheffield,Claire Morrison,Net 30,Completed,2023-02-23,9
2023-02-16,SO-11689,TechCore Manufacturing,Hydraulic Fittings,7,42.23,295.59,167.38,128.21,43.37,South,Raj Patel,Net 30,Completed,2023-03-07,19
2023-02-16,PO-10695,Pacific Offshore GmbH,Industrial Pumps,6,430.67,2584.03,1481.96,1102.07,42.65,Germany,Sarah Okonkwo,Net 30,Completed,2023-02-26,10
2023-02-17,SO-10895,BritOil Downstream Services,Seals & Gaskets,81,52.5,4252.13,2477.27,1774.86,41.74,Scotland,Claire Morrison,Net 30,Completed,2023-02-21,4
2023-02-17,SO-10883,Northgate Engineering Ltd,Seals & Gaskets,47,72.96,3429.3,2001.46,1427.84,41.64,North,Emma Thornton,Net 60,Completed,2023-03-09,20
2023-02-20,SO-10968,Northgate Engineering Ltd,Maintenance Kits,93,221.11,20563.04,14365.62,6197.42,30.14,North,James Whitfield,Net 30,Completed,2023-03-09,17
2023-02-21,SO-11633,Northgate Engineering Ltd,Industrial Pumps,74,402.52,29786.83,26440.47,3346.36,11.23,North,Sarah Okonkwo,Net 60,Completed,2023-03-06,13
2023-02-21,INV-11286,Pacific Offshore GmbH,Compressor Units,35,1565.0,54775.12,38619.55,16155.57,29.49,Germany,Sarah Okonkwo,Net 30,Completed,2023-03-06,13
2023-02-23,SO-11550,Northgate Engineering Ltd,Industrial Pumps,97,363.69,35278.08,21643.23,13634.85,38.65,North,Emma Thornton,Net 30,Completed,2023-03-14,19
2023-02-23,PO-10546,Orion Subsea Ltd,Industrial Pumps,14,491.86,6886.05,3620.83,3265.22,47.42,Scotland,Sarah Okonkwo,Net 60,Completed,2023-03-14,19
2023-02-24,SO-11720,Apex Fluid Systems,Industrial Pumps,19,407.49,7742.23,4637.09,3105.14,40.11,Hamburg,Raj Patel,Immediate,Completed,2023-03-16,20
2023-02-24,SO-12030,Pacific Offshore GmbH,Compressor Units,27,1609.32,43451.57,28424.47,15027.1,34.58,Germany,Sarah Okonkwo,Immediate,Completed,2023-03-03,7
2023-02-24,SO-11543,Northgate Engineering Ltd,Hydraulic Fittings,70,81.69,5718.45,3629.05,2089.4,36.54,North,David Liang,Net 30,Completed,2023-03-09,13
2023-02-28,PO-10258,TechCore Manufacturing,Compressor Units,26,1982.85,51554.04,35807.21,15746.83,30.54,Manchester,David Liang,Net 45,Completed,2023-03-12,12
2023-02-28,PO-10843,Apex Fluid Systems,Valve Assemblies,22,379.49,8348.87,5514.96,2833.91,33.94,Midlands,Claire Morrison,Immediate,Partially Returned,2023-03-13,13
2023-03-01,INV-10002,Northgate Engineering Ltd,Hydraulic Fittings,51,35.99,1835.55,1925.36,-89.81,-4.89,North,David Liang,Immediate,Completed,2023-03-20,19
2023-03-02,SO-11925,BritOil Downstream Services,Maintenance Kits,89,172.43,15346.6,8725.28,6621.32,43.15,Scotland,Sarah Okonkwo,Immediate,Refunded,2023-03-19,17
2023-03-03,INV-11093,Valor Industrial Partners,Industrial Pumps,36,300.1,10803.52,6521.4,4282.12,39.64,North,James Whitfield,Immediate,Completed,2023-03-04,1
2023-03-03,PO-11788,Apex Fluid Systems,Industrial Pumps,34,403.52,13719.53,11824.24,1895.29,13.81,Midlands,Claire Morrison,Net 30,Completed,2023-03-13,10
2023-03-06,PO-11264,Northgate Engineering Ltd,Valve Assemblies,90,140.12,12610.49,6909.31,5701.18,45.21,North,Sarah Okonkwo,Net 30,Refunded,2023-03-10,4
2023-03-08,PO-10778,Valor Industrial Partners,Hydraulic Fittings,7,41.21,288.46,145.32,143.14,49.62,North,James Whitfield,Net 45,Completed,2023-03-12,4
2023-03-09,PO-10205,BritOil Downstream Services,Industrial Pumps,119,291.4,34676.82,29759.35,4917.47,14.18,Cardiff,Claire Morrison,Net 60,Completed,2023-03-18,9
2023-03-09,INV-10385,BritOil Downstream Services,Compressor Units,32,1396.81,44697.8,26025.36,18672.44,41.77,Scotland,Sarah Okonkwo,Net 60,Refunded,2023-03-25,16
2023-03-09,SO-10646,Orion Subsea Ltd,Valve Assemblies,22,386.36,8499.94,5428.54,3071.4,36.13,Scotland,Claire Morrison,Net 30,Completed,2023-03-22,13
2023-03-10,INV-10133,BritOil Downstream Services,Valve Assemblies,57,361.92,20629.6,13068.94,7560.66,36.65,Scotland,David Liang,Net 60,Completed,2023-03-24,14
2023-03-13,SO-10697,Apex Fluid Systems,Valve Assemblies,19,281.77,5353.62,3326.49,2027.13,37.86,Midlands,Sarah Okonkwo,Net 60,Completed,2023-04-02,20
2023-03-15,PO-11039,Pacific Offshore GmbH,Hydraulic Fittings,35,37.99,1329.82,851.44,478.38,35.97,Germany,Sarah Okonkwo,Net 30,Completed,2023-03-28,13
2023-03-17,INV-11289,Apex Fluid Systems,Compressor Units,44,901.3,39657.14,27437.72,12219.42,30.81,Midlands,Claire Morrison,Net 30,Completed,2023-04-05,19
2023-03-17,SO-11120,Pacific Offshore GmbH,Industrial Pumps,26,561.71,14604.57,8114.46,6490.11,44.44,Germany,David Liang,Net 45,Completed,2023-03-24,7
2023-03-17,PO-11283,Valor Industrial Partners,Compressor Units,18,2375.32,42755.83,28583.24,14172.59,33.15,North,Raj Patel,Net 45,Completed,2023-03-30,13
2023-03-20,INV-11771,Northgate Engineering Ltd,Compressor Units,43,1302.68,56015.27,37042.19,18973.08,33.87,North,James Whitfield,Net 45,Completed,2023-04-03,14
2023-03-20,INV-10959,Pacific Offshore GmbH,Seals & Gaskets,12,130.15,1561.84,801.33,760.51,48.69,Germany,David Liang,Net 45,Partially Returned,2023-04-02,13
2023-03-21,PO-10334,Meridian Process Group,Maintenance Kits,41,234.38,9609.63,6137.41,3472.22,36.13,Wales,Emma Thornton,Net 30,Completed,2023-03-30,9
